SalePrice;YearBuilt;Size(sqf);Floor;N_FacilitiesNearBy(Hospital);N_FacilitiesNearBy(Mall);N_FacilitiesNearBy(ETC);N_SchoolNearBy(University);N_FacilitiesInApt
163716;2005;914;8;2;1 ;5 ;4 ;7
232212;2007;1103;24;2;2 ;0 ;2 ;4
86725;1993;644;15;2;1 ;5 ;5 ;4
172566;1993;1761;4;2;1 ;5 ;5 ;4
194690;1993;2337;18;2;1 ;5 ;5 ;4
36283;1992;355;4;1;1 ;5 ;5 ;3
60176;1992;576;14;1;1 ;5 ;5 ;3
88495;1993;644;19;2;1 ;5 ;5 ;4
61946;1992;576;8;1;1 ;5 ;5 ;3
81858;1992;644;16;1;1 ;1 ;4 ;3
60176;1992;576;11;1;1 ;5 ;5 ;3
191150;2007;868;8;1;1 ;0 ;2 ;10
408849;2007;1643;4;1;1 ;0 ;2 ;10
162831;1986;1131;5;1;0 ;1 ;1 ;4
203539;2007;868;21;1;1 ;0 ;2 ;10
94690;1986;910;16;1;1 ;1 ;2 ;3
242920;2006;1437;4;1;1 ;0 ;2 ;5
307964;2006;1743;15;1;1 ;0 ;2 ;5
287486;2007;1366;19;2;2 ;0 ;2 ;4
285840;2007;1366;20;2;2 ;0 ;2 ;4
132743;1993;914;16;2;1 ;5 ;5 ;4
176991;2007;914;30;2;2 ;0 ;2 ;4
323982;2007;1448;30;2;2 ;0 ;2 ;4
92035;1993;644;15;2;1 ;5 ;5 ;4
115044;1993;914;9;2;1 ;5 ;5 ;4
137168;1993;914;21;2;1 ;5 ;5 ;4
265486;2007;1394;24;2;2 ;0 ;2 ;4
97345;1993;644;17;2;1 ;5 ;5 ;4
199469;2007;1103;17;2;2 ;0 ;2 ;4
290000;2007;1366;18;2;2 ;0 ;2 ;4
82300;1993;644;8;2;1 ;5 ;5 ;4
134513;1993;914;11;2;1 ;5 ;5 ;4
201769;2007;868;24;1;1 ;0 ;2 ;10
185840;1986;1131;5;1;0 ;1 ;1 ;4
174336;1986;1131;11;1;0 ;1 ;1 ;4
319469;2007;1387;30;1;1 ;0 ;2 ;10
170796;1986;1377;2;1;0 ;1 ;1 ;4
112389;1997;914;11;1;1 ;1 ;3 ;5
72566;1985;676;6;1;1 ;2 ;0 ;3
448672;2007;1690;18;1;1 ;0 ;1 ;5
462831;2007;1690;20;1;1 ;0 ;1 ;5
317699;2007;1273;13;1;1 ;0 ;1 ;5
295460;2007;1273;18;1;1 ;0 ;1 ;5
44247;1986;508;1;1;1 ;1 ;2 ;3
51327;1986;508;11;1;1 ;1 ;2 ;3
52212;1986;547;4;1;1 ;1 ;2 ;3
265486;2006;1437;28;1;1 ;0 ;2 ;5
38761;1992;355;3;1;1 ;5 ;5 ;3
39823;1992;355;12;1;1 ;5 ;5 ;3
84070;1993;644;21;2;1 ;5 ;5 ;4
212389;2005;1184;17;2;1 ;5 ;4 ;7
225663;2007;1103;14;2;2 ;0 ;2 ;4
151327;2005;743;10;2;1 ;5 ;4 ;7
91150;1993;644;20;2;1 ;5 ;5 ;4
131415;2005;743;3;2;1 ;5 ;4 ;7
135398;1993;914;10;2;1 ;5 ;5 ;4
163539;2007;914;26;2;2 ;0 ;2 ;4
176991;2007;914;26;2;2 ;0 ;2 ;4
80530;1993;644;2;2;1 ;5 ;5 ;4
86283;1993;644;12;2;1 ;5 ;5 ;4
126106;1993;914;17;2;1 ;5 ;5 ;4
207964;1986;1377;10;1;0 ;1 ;1 ;4
198230;2007;868;11;1;1 ;0 ;2 ;10
203539;2007;868;24;1;1 ;0 ;2 ;10
194690;2007;868;10;1;1 ;0 ;2 ;10
351769;2007;1387;41;1;1 ;0 ;2 ;10
119292;1986;914;4;1;0 ;1 ;1 ;4
193805;2007;868;14;1;1 ;0 ;2 ;10
221238;2006;1192;4;1;1 ;2 ;1 ;4
150442;1986;1131;3;1;0 ;1 ;1 ;4
191150;2007;868;17;1;1 ;0 ;2 ;10
110619;1997;914;13;1;1 ;1 ;3 ;5
61946;1985;587;8;1;1 ;2 ;0 ;3
283185;2007;1483;4;1;1 ;0 ;1 ;5
383185;2007;1483;17;1;1 ;0 ;1 ;5
357522;2007;1334;25;1;1 ;0 ;1 ;5
337168;2007;1273;27;1;1 ;0 ;1 ;5
93805;1986;910;11;1;1 ;1 ;2 ;3
197345;2006;914;15;1;1 ;0 ;2 ;5
101327;1993;644;11;2;1 ;5 ;5 ;4
146017;1993;914;10;2;1 ;5 ;5 ;4
243362;1993;2337;14;2;1 ;5 ;5 ;4
69026;1992;640;11;1;1 ;5 ;5 ;3
79646;1993;644;4;2;1 ;5 ;5 ;4
295575;2007;1394;20;2;2 ;0 ;2 ;4
64601;1992;576;10;1;1 ;5 ;5 ;3
127433;1993;914;14;2;1 ;5 ;5 ;4
66371;1992;640;1;1;1 ;5 ;5 ;3
160637;2007;914;11;2;2 ;0 ;2 ;4
35398;1992;355;15;1;1 ;5 ;5 ;3
256637;2007;1366;12;2;2 ;0 ;2 ;4
254867;1986;1796;9;1;0 ;1 ;1 ;4
176991;2007;868;15;1;1 ;0 ;2 ;10
188495;2007;868;3;1;1 ;0 ;2 ;10
176106;2006;903;1;1;1 ;2 ;1 ;4
428318;2007;1643;20;1;1 ;0 ;2 ;10
176106;2006;903;1;1;1 ;2 ;1 ;4
166371;1986;1131;9;1;0 ;1 ;1 ;4
151769;1986;914;11;1;0 ;1 ;1 ;4
150442;1986;1131;1;1;0 ;1 ;1 ;4
115929;1997;914;13;1;1 ;1 ;3 ;5
63274;1997;558;11;1;1 ;1 ;3 ;5
219469;2006;910;16;1;1 ;1 ;2 ;5
123893;2003;907;7;1;1 ;1 ;3 ;5
59734;1985;587;9;1;1 ;2 ;0 ;3
60176;1985;587;5;1;1 ;2 ;0 ;3
327433;2007;1273;22;1;1 ;0 ;1 ;5
307964;2007;1273;9;1;1 ;0 ;1 ;5
448672;2007;1690;16;1;1 ;0 ;1 ;5
370796;2007;1483;18;1;1 ;0 ;1 ;5
347787;2007;1690;11;1;1 ;0 ;1 ;5
462831;2007;1690;22;1;1 ;0 ;1 ;5
448672;2007;1690;15;1;1 ;0 ;1 ;5
435398;2007;1690;7;1;1 ;0 ;1 ;5
51327;1986;508;2;1;1 ;1 ;2 ;3
269911;2006;1149;28;1;1 ;0 ;2 ;5
256637;2006;1437;3;1;1 ;0 ;2 ;5
272566;2006;1412;22;1;1 ;0 ;2 ;5
178761;2005;914;24;2;1 ;5 ;4 ;7
194690;2007;1103;3;2;2 ;0 ;2 ;4
174336;1993;1451;5;2;1 ;5 ;5 ;4
37787;1992;355;15;1;1 ;5 ;5 ;3
161946;2005;914;18;2;1 ;5 ;4 ;7
70796;1992;644;4;1;1 ;1 ;4 ;3
84955;1993;644;15;2;1 ;5 ;5 ;4
92035;1993;644;8;2;1 ;5 ;5 ;4
90707;1993;644;6;2;1 ;5 ;5 ;4
194690;1993;1288;16;2;1 ;5 ;5 ;4
153539;2005;743;17;2;1 ;5 ;4 ;7
122389;1993;914;18;2;1 ;5 ;5 ;4
123893;1993;914;2;2;1 ;5 ;5 ;4
341592;2007;1448;29;2;2 ;0 ;2 ;4
37168;1992;355;14;1;1 ;5 ;5 ;3
124778;1993;914;21;2;1 ;5 ;5 ;4
222123;2007;1103;24;2;2 ;0 ;2 ;4
207964;2007;1103;6;2;2 ;0 ;2 ;4
168141;1993;1451;3;2;1 ;5 ;5 ;4
80530;1992;644;15;1;1 ;1 ;4 ;3
169911;1986;1377;2;1;0 ;1 ;1 ;4
207079;2007;868;19;1;1 ;0 ;2 ;10
381663;2007;1387;31;1;1 ;0 ;2 ;10
184955;1986;1377;5;1;0 ;1 ;1 ;4
356637;2007;1387;23;1;1 ;0 ;2 ;10
207079;2007;868;18;1;1 ;0 ;2 ;10
184070;2007;868;4;1;1 ;0 ;2 ;10
170796;1986;1131;12;1;0 ;1 ;1 ;4
147787;1986;914;1;1;0 ;1 ;1 ;4
442477;2007;1643;43;1;1 ;0 ;2 ;10
150442;1986;1131;11;1;0 ;1 ;1 ;4
408849;2007;1643;5;1;1 ;0 ;2 ;10
70796;1985;676;8;1;1 ;2 ;0 ;3
57522;1985;587;7;1;1 ;2 ;0 ;3
383185;2007;1444;10;1;1 ;0 ;1 ;5
382300;2007;1483;20;1;1 ;0 ;1 ;5
462831;2007;1690;23;1;1 ;0 ;1 ;5
371681;2007;1483;7;1;1 ;0 ;1 ;5
373451;2007;1483;24;1;1 ;0 ;1 ;5
347787;2007;1334;10;1;1 ;0 ;1 ;5
383185;2007;1483;16;1;1 ;0 ;1 ;5
48672;1986;508;6;1;1 ;1 ;2 ;3
191150;2006;914;7;1;1 ;0 ;2 ;5
272566;2006;1437;10;1;1 ;0 ;2 ;5
212389;1993;1761;15;2;1 ;5 ;5 ;4
86725;1992;644;13;1;1 ;1 ;4 ;3
247787;2007;1448;31;2;2 ;0 ;2 ;4
128318;1993;914;4;2;1 ;5 ;5 ;4
85132;1993;644;17;2;1 ;5 ;5 ;4
265486;2007;1366;17;2;2 ;0 ;2 ;4
162831;1993;1451;18;2;1 ;5 ;5 ;4
84955;1993;644;15;2;1 ;5 ;5 ;4
89380;1993;644;3;2;1 ;5 ;5 ;4
185840;2005;914;20;2;1 ;5 ;4 ;7
38938;1992;355;13;1;1 ;5 ;5 ;3
221238;1993;2337;9;2;1 ;5 ;5 ;4
164601;1986;1131;12;1;0 ;1 ;1 ;4
176106;1986;1377;2;1;0 ;1 ;1 ;4
142920;2006;814;17;1;1 ;1 ;2 ;5
66371;1985;587;6;1;1 ;2 ;0 ;3
72123;1985;676;9;1;1 ;2 ;0 ;3
44690;1985;498;7;1;1 ;2 ;0 ;3
448672;2007;1690;12;1;1 ;0 ;1 ;5
383185;2007;1483;15;1;1 ;0 ;1 ;5
307964;2007;1273;7;1;1 ;0 ;1 ;5
53097;1986;451;13;1;1 ;1 ;2 ;3
53982;1986;451;9;1;1 ;1 ;2 ;3
265486;2006;1437;28;1;1 ;0 ;2 ;5
265486;2006;1437;20;1;1 ;0 ;2 ;5
173451;2005;914;6;2;1 ;5 ;4 ;7
141592;2005;743;9;2;1 ;5 ;4 ;7
65929;1992;576;7;1;1 ;5 ;5 ;3
185840;1993;1761;17;2;1 ;5 ;5 ;4
265486;2007;1103;9;2;2 ;0 ;2 ;4
181415;1993;1451;19;2;1 ;5 ;5 ;4
127433;1993;914;14;2;1 ;5 ;5 ;4
181415;1993;1761;1;2;1 ;5 ;5 ;4
144247;2005;743;7;2;1 ;5 ;4 ;7
183628;2005;914;16;2;1 ;5 ;4 ;7
44247;1992;576;4;1;1 ;5 ;5 ;3
185840;1993;2337;24;2;1 ;5 ;5 ;4
291238;2007;1394;11;2;2 ;0 ;2 ;4
291238;2007;1394;11;2;2 ;0 ;2 ;4
277876;2007;1419;11;2;2 ;0 ;2 ;4
137168;1993;914;23;2;1 ;5 ;5 ;4
176991;2006;903;4;1;1 ;2 ;1 ;4
198230;1986;1377;4;1;0 ;1 ;1 ;4
332743;2007;1387;24;1;1 ;0 ;2 ;10
69911;1997;558;12;1;1 ;1 ;3 ;5
194690;2006;910;12;1;1 ;1 ;2 ;5
55752;1985;587;9;1;1 ;2 ;0 ;3
61061;1985;587;7;1;1 ;2 ;0 ;3
326548;2007;1334;4;1;1 ;0 ;1 ;5
360176;2007;1483;4;1;1 ;0 ;1 ;5
289380;2007;1273;3;1;1 ;0 ;1 ;5
307964;2007;1273;8;1;1 ;0 ;1 ;5
371681;2007;1483;8;1;1 ;0 ;1 ;5
317699;2007;1273;10;1;1 ;0 ;1 ;5
315929;2007;1334;3;1;1 ;0 ;1 ;5
346017;2006;2056;15;1;1 ;0 ;2 ;5
171681;2005;914;12;2;1 ;5 ;4 ;7
268849;2007;1419;4;2;2 ;0 ;2 ;4
172566;2005;914;21;2;1 ;5 ;4 ;7
353982;2007;1366;21;2;2 ;0 ;2 ;4
128318;1993;914;15;2;1 ;5 ;5 ;4
283185;2007;1366;11;2;2 ;0 ;2 ;4
169911;2005;914;10;2;1 ;5 ;4 ;7
38053;1992;355;5;1;1 ;5 ;5 ;3
221238;2007;1103;16;2;2 ;0 ;2 ;4
159292;2005;914;21;2;1 ;5 ;4 ;7
129646;1993;914;14;2;1 ;5 ;5 ;4
176991;1993;1288;13;2;1 ;5 ;5 ;4
225663;2005;1184;20;2;1 ;5 ;4 ;7
92035;1993;644;10;2;1 ;5 ;5 ;4
38584;1992;355;9;1;1 ;5 ;5 ;3
225663;2007;868;20;1;1 ;0 ;2 ;10
333628;2007;1387;17;1;1 ;0 ;2 ;10
185840;2007;868;6;1;1 ;0 ;2 ;10
163716;1986;1131;7;1;0 ;1 ;1 ;4
167964;2006;903;14;1;1 ;2 ;1 ;4
348672;2007;1387;38;1;1 ;0 ;2 ;10
362831;2007;1387;35;1;1 ;0 ;2 ;10
333628;2007;1387;14;1;1 ;0 ;2 ;10
168141;2006;903;1;1;1 ;2 ;1 ;4
199115;2007;868;9;1;1 ;0 ;2 ;10
141592;1978;903;8;2;1 ;0 ;2 ;3
194690;2007;868;8;1;1 ;0 ;2 ;10
346017;2007;1387;17;1;1 ;0 ;2 ;10
317699;2007;1483;11;1;1 ;0 ;1 ;5
383185;2007;1483;19;1;1 ;0 ;1 ;5
348672;2007;1483;5;1;1 ;0 ;1 ;5
408849;2007;1690;3;1;1 ;0 ;1 ;5
337168;2007;1483;3;1;1 ;0 ;1 ;5
348672;2007;1483;4;1;1 ;0 ;1 ;5
340707;2006;1743;6;1;1 ;0 ;2 ;5
380530;2006;2056;17;1;1 ;0 ;2 ;5
380530;2006;2056;26;1;1 ;0 ;2 ;5
58849;1992;576;1;1;1 ;5 ;5 ;3
61946;1992;576;12;1;1 ;5 ;5 ;3
137168;1993;914;10;2;1 ;5 ;5 ;4
121238;1993;914;3;2;1 ;5 ;5 ;4
65486;1992;576;11;1;1 ;5 ;5 ;3
141592;2005;743;14;2;1 ;5 ;4 ;7
68141;1992;644;6;1;1 ;5 ;5 ;3
92035;1993;644;11;2;1 ;5 ;5 ;4
230088;2005;1184;10;2;1 ;5 ;4 ;7
80530;1993;644;1;2;1 ;5 ;5 ;4
48672;1992;576;3;1;1 ;5 ;5 ;3
38053;1992;355;2;1;1 ;5 ;5 ;3
185840;1993;1451;21;2;1 ;5 ;5 ;4
123008;1986;1131;1;1;0 ;1 ;1 ;4
132743;1986;914;7;1;0 ;1 ;1 ;4
151327;1986;1131;3;1;0 ;1 ;1 ;4
398230;2007;1519;26;1;1 ;0 ;2 ;10
190265;1986;1377;9;1;0 ;1 ;1 ;4
165929;1986;1313;4;1;0 ;1 ;1 ;4
408849;2007;1690;3;1;1 ;0 ;1 ;5
307964;2007;1273;6;1;1 ;0 ;1 ;5
383185;2007;1483;17;1;1 ;0 ;1 ;5
371681;2007;1483;6;1;1 ;0 ;1 ;5
348672;2007;1483;3;1;1 ;0 ;1 ;5
360176;2007;1483;6;1;1 ;0 ;1 ;5
278761;2006;1743;5;1;1 ;0 ;2 ;5
380530;2006;2056;11;1;1 ;0 ;2 ;5
204424;2006;914;13;1;1 ;0 ;2 ;5
75221;1993;644;21;2;1 ;5 ;5 ;4
84070;1993;644;6;2;1 ;5 ;5 ;4
92035;1993;644;18;2;1 ;5 ;5 ;4
79646;1992;644;10;1;1 ;1 ;4 ;3
204424;1993;2337;14;2;1 ;5 ;5 ;4
252212;2007;914;13;2;2 ;0 ;2 ;4
194690;1993;2337;12;2;1 ;5 ;5 ;4
63716;1992;576;7;1;1 ;5 ;5 ;3
37610;1992;355;10;1;1 ;5 ;5 ;3
90265;1993;644;18;2;1 ;5 ;5 ;4
115044;1993;914;2;2;1 ;5 ;5 ;4
273451;2007;1394;15;2;2 ;0 ;2 ;4
36283;1992;355;13;1;1 ;5 ;5 ;3
154867;2005;914;8;2;1 ;5 ;4 ;7
90707;1993;644;8;2;1 ;5 ;5 ;4
128318;1993;914;7;2;1 ;5 ;5 ;4
172566;2006;903;3;1;1 ;2 ;1 ;4
348672;2007;1387;43;1;1 ;0 ;2 ;10
362831;2007;1387;35;1;1 ;0 ;2 ;10
448672;2007;1643;35;1;1 ;0 ;2 ;10
75221;1997;644;7;1;1 ;1 ;3 ;5
73451;1997;644;4;1;1 ;1 ;3 ;5
70796;1997;558;13;1;1 ;1 ;3 ;5
180530;2006;814;6;1;1 ;1 ;2 ;5
123008;2003;907;8;1;1 ;1 ;3 ;5
100000;1986;910;16;1;1 ;1 ;2 ;3
247787;2006;1437;6;1;1 ;0 ;2 ;5
90707;1993;644;9;2;1 ;5 ;5 ;4
182743;2005;914;13;2;1 ;5 ;4 ;7
137168;2005;743;20;2;1 ;5 ;4 ;7
61504;1992;576;2;1;1 ;5 ;5 ;3
215929;2005;1184;16;2;1 ;5 ;4 ;7
291415;2007;1419;26;2;2 ;0 ;2 ;4
78318;1993;644;5;2;1 ;5 ;5 ;4
46017;1992;355;9;1;1 ;5 ;5 ;3
112831;1993;914;2;2;1 ;5 ;5 ;4
82743;1993;644;16;2;1 ;5 ;5 ;4
66371;1992;576;11;1;1 ;5 ;5 ;3
77876;1993;644;1;2;1 ;5 ;5 ;4
91150;1993;644;18;2;1 ;5 ;5 ;4
137168;2005;743;19;2;1 ;5 ;4 ;7
168141;2005;914;20;2;1 ;5 ;4 ;7
333628;2007;1387;16;1;1 ;0 ;2 ;10
348672;2007;1387;42;1;1 ;0 ;2 ;10
143362;1986;914;2;1;0 ;1 ;1 ;4
389380;2007;1519;31;1;1 ;0 ;2 ;10
141592;1986;914;2;1;0 ;1 ;1 ;4
346017;2007;1387;26;1;1 ;0 ;2 ;10
58407;1997;430;8;1;1 ;1 ;3 ;5
55752;1997;430;5;1;1 ;1 ;3 ;5
59115;1985;587;10;1;1 ;2 ;0 ;3
92920;1986;910;11;1;1 ;1 ;2 ;3
230088;2006;1149;12;1;1 ;0 ;2 ;5
127433;1993;914;8;2;1 ;5 ;5 ;4
176991;1993;1761;19;2;1 ;5 ;5 ;4
119469;1993;914;4;2;1 ;5 ;5 ;4
60619;1992;576;13;1;1 ;5 ;5 ;3
277256;2007;1366;5;2;2 ;0 ;2 ;4
291238;2007;1394;12;2;2 ;0 ;2 ;4
281592;2007;1366;9;2;2 ;0 ;2 ;4
277256;2007;1366;4;2;2 ;0 ;2 ;4
282566;2007;1394;5;2;2 ;0 ;2 ;4
286902;2007;1394;9;2;2 ;0 ;2 ;4
209911;2007;1103;5;2;2 ;0 ;2 ;4
286902;2007;1394;9;2;2 ;0 ;2 ;4
277876;2007;1419;11;2;2 ;0 ;2 ;4
291238;2007;1394;14;2;2 ;0 ;2 ;4
277876;2007;1419;12;2;2 ;0 ;2 ;4
282566;2007;1394;3;2;2 ;0 ;2 ;4
282566;2007;1394;4;2;2 ;0 ;2 ;4
220265;2007;1103;30;2;2 ;0 ;2 ;4
286902;2007;1394;8;2;2 ;0 ;2 ;4
295575;2007;1394;25;2;2 ;0 ;2 ;4
291238;2007;1394;13;2;2 ;0 ;2 ;4
286902;2007;1394;7;2;2 ;0 ;2 ;4
295575;2007;1394;23;2;2 ;0 ;2 ;4
282566;2007;1394;4;2;2 ;0 ;2 ;4
273362;2007;1419;7;2;2 ;0 ;2 ;4
286902;2007;1394;6;2;2 ;0 ;2 ;4
277876;2007;1419;21;2;2 ;0 ;2 ;4
282566;2007;1394;5;2;2 ;0 ;2 ;4
282566;2007;1394;3;2;2 ;0 ;2 ;4
282566;2007;1394;5;2;2 ;0 ;2 ;4
273362;2007;1419;6;2;2 ;0 ;2 ;4
286902;2007;1394;6;2;2 ;0 ;2 ;4
277876;2007;1419;17;2;2 ;0 ;2 ;4
291238;2007;1394;12;2;2 ;0 ;2 ;4
295575;2007;1394;18;2;2 ;0 ;2 ;4
295575;2007;1394;27;2;2 ;0 ;2 ;4
286902;2007;1394;9;2;2 ;0 ;2 ;4
295575;2007;1394;16;2;2 ;0 ;2 ;4
295575;2007;1394;17;2;2 ;0 ;2 ;4
295575;2007;1394;21;2;2 ;0 ;2 ;4
282566;2007;1394;4;2;2 ;0 ;2 ;4
291238;2007;1394;14;2;2 ;0 ;2 ;4
277876;2007;1419;21;2;2 ;0 ;2 ;4
286902;2007;1394;6;2;2 ;0 ;2 ;4
286902;2007;1394;8;2;2 ;0 ;2 ;4
291238;2007;1394;14;2;2 ;0 ;2 ;4
277876;2007;1419;16;2;2 ;0 ;2 ;4
38053;1992;355;13;1;1 ;5 ;5 ;3
115044;1993;914;18;2;1 ;5 ;5 ;4
123893;1986;1131;2;1;0 ;1 ;1 ;4
209734;2007;868;8;1;1 ;0 ;2 ;10
155752;1986;1131;7;1;0 ;1 ;1 ;4
176991;2006;903;10;1;1 ;2 ;1 ;4
556637;2007;1928;31;1;1 ;0 ;2 ;10
185840;2006;910;19;1;1 ;1 ;2 ;5
47787;1986;508;2;1;1 ;1 ;2 ;3
91150;1986;910;13;1;1 ;1 ;2 ;3
262831;2006;1412;8;1;1 ;0 ;2 ;5
84070;1993;644;7;2;1 ;5 ;5 ;4
286902;2007;1394;10;2;2 ;0 ;2 ;4
115044;1993;914;4;2;1 ;5 ;5 ;4
37168;1992;355;10;1;1 ;5 ;5 ;3
138053;2005;743;13;2;1 ;5 ;4 ;7
123451;2005;743;21;2;1 ;5 ;4 ;7
34955;1992;355;12;1;1 ;5 ;5 ;3
291238;2007;1394;12;2;2 ;0 ;2 ;4
123893;1993;914;11;2;1 ;5 ;5 ;4
115044;1993;914;5;2;1 ;5 ;5 ;4
75221;1993;644;9;2;1 ;5 ;5 ;4
277256;2007;1366;3;2;2 ;0 ;2 ;4
200884;2007;868;14;1;1 ;0 ;2 ;10
130973;1986;914;1;1;0 ;1 ;1 ;4
71681;1997;644;10;1;1 ;1 ;3 ;5
74778;1997;644;13;1;1 ;1 ;3 ;5
66814;1997;558;11;1;1 ;1 ;3 ;5
119469;2006;636;19;1;1 ;1 ;2 ;5
188053;2006;910;8;1;1 ;1 ;2 ;5
53097;1985;587;4;1;1 ;2 ;0 ;3
284955;2006;1743;6;1;1 ;0 ;2 ;5
219026;2007;1419;17;2;2 ;0 ;2 ;4
88495;1993;644;11;2;1 ;5 ;5 ;4
34070;1992;355;2;1;1 ;5 ;5 ;3
95575;1993;644;7;2;1 ;5 ;5 ;4
215929;2007;1394;7;2;2 ;0 ;2 ;4
66371;1992;640;9;1;1 ;5 ;5 ;3
150442;2005;914;23;2;1 ;5 ;4 ;7
121238;1993;914;10;2;1 ;5 ;5 ;4
408849;2007;1643;2;1;1 ;0 ;2 ;10
408849;2007;1643;2;1;1 ;0 ;2 ;10
527433;2007;1928;30;1;1 ;0 ;2 ;10
150442;1986;1131;8;1;0 ;1 ;1 ;4
126548;1993;914;25;2;1 ;5 ;5 ;4
209734;2007;1419;11;2;2 ;0 ;2 ;4
79646;1993;644;17;2;1 ;5 ;5 ;4
79646;1993;644;18;2;1 ;5 ;5 ;4
90265;1993;644;11;2;1 ;5 ;5 ;4
166814;2005;1184;6;2;1 ;5 ;4 ;7
84070;1993;644;12;2;1 ;5 ;5 ;4
215176;2007;1394;6;2;2 ;0 ;2 ;4
79646;1993;644;15;2;1 ;5 ;5 ;4
230088;2007;1103;21;2;2 ;0 ;2 ;4
221238;1993;2337;6;2;1 ;5 ;5 ;4
32743;1992;355;1;1;1 ;5 ;5 ;3
154424;2005;914;18;2;1 ;5 ;4 ;7
